"papel","cotacao","pl","pvp","psr","div_yield","p_ativo","p_cap_giro","p_ebit","p_ativ_circ_liq","ev_ebit","mrg_ebit","mrg_liq","liq_corr","roic","roe","liq_2meses","patrim_liq","div_brut_patrim","cresc_rec_5a","setor","subsetor","empresa","tipo"
"PLDN4","486,00","-553,07","1,08","0,919","0,00%","0,611","1,07","-75,56","3,10","-33,12","-1,22%","-0,17%","10,81","-1,27%","-0,20%","0,00","289.939.000,00","0,01","10,26%","","","POLIALDEN PN","PN"
"LCSA4","35,09","-337,52","-228,00","79,738","0,00%","125,308","-202,27","-505,80","-96,61","-506,56","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%","Alimentos","Laticínios","NÃO  CONSTA PN","PN"
"BHGR3","19,10","-272,16","1,10","3,613","0,00%","0,855","-194,45","23,70","-8,56","25,95","15,24%","-1,31%","0,96","3,93%","-0,40%","0,00","1.077.600.000,00","0,20","20,67%","Exploração de Imóveis","Exploração de Imóveis","BHG ON NM","ON NM"
"ATOM3","2,82","-259,63","-8,08","0,000","0,00%","32,100","0,00","-232,95","0,00","-225,73","0,00%","0,00%","0,00","0,00%","3,11%","119.961,00","-7.295.000,00","0,00","0,00%","Telefonia Móvel","Telefonia Móvel","ATOMPAR ON","ON"
"RJCP3","0,01","-224,70","0,65","0,000","0,00%","0,619","0,00","-522,94","0,00","-523,96","0,00%","0,00%","0,00","0,00%","-0,29%","0,00","17.287.200,00","0,00","0,00%","Financeiros","Outros Intermediários Financeiros","RJCP EQUITY ON","ON"
"ABYA3","4,91","-214,80","1,76","2,055","0,00%","0,527","1,98","19,96","-2,75","33,67","10,29%","-0,96%","2,09","2,78%","-0,82%","0,00","292.060.000,00","1,31","16,41%","Construção e Engenharia","Construção Civil","ABYARA ON NM","ON NM"
"PITI4","1,28","-204,74","0,00","0,000","0,00%","0,000","0,00","-2.637,65","0,00","-2.637,65","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","-29,63%","Telefonia Fixa","Telefonia Fixa","AV. DR CHUCRI ZAIDAN, 920 - 16§ ANDAR PN","PN"
"IDVL11","140,00","-148,67","52,45","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-35,28%","0,00","407.089.000,00","0,00","0,00%","Financeiros","Bancos","Indusval UNT N1","UNT N1"
"LCSA3","12,50","-120,23","-81,22","28,405","0,00%","44,638","-72,05","-180,18","-34,41","-180,95","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%","Alimentos","Laticínios","NÃO  CONSTA ON","ON"
"STBP3","3,51","-114,69","1,70","2,772","0,00%","1,211","17,77","-106,41","-14,72","-106,67","-2,61%","-2,42%","1,49","-1,39%","-1,49%","5.958.820,00","1.371.470.000,00","0,20","-12,89%","Transporte","Serviços de Apoio e Armazenagem","SBPAR ON NM","ON NM"
"AHEB3","91,00","-108,54","11,76","-15,674","0,00%","1,819","-19,02","-96,83","-2,42","-95,37","16,19%","14,44%","0,50","-2,02%","-10,84%","0,00","40.067.000,00","0,00","0,91%","Exploração de Imóveis","Exploração de Imóveis","PARQUE ANHEMBI ON","ON"
"AHEB5","85,00","-101,39","10,99","-14,641","0,00%","1,699","-17,76","-90,45","-2,26","-88,99","16,19%","14,44%","0,50","-2,02%","-10,84%","0,00","40.067.000,00","0,00","0,91%","Exploração de Imóveis","Exploração de Imóveis","PARQUE ANHEMBI PNA","PNA"
"AHEB6","80,00","-95,42","10,34","-13,779","0,00%","1,599","-16,72","-85,13","-2,13","-83,67","16,19%","14,44%","0,50","-2,02%","-10,84%","181,82","40.067.000,00","0,00","0,91%","Exploração de Imóveis","Exploração de Imóveis","PARQUE ANHEMBI PNB","PNB"
"STBP11","14,40","-94,10","1,40","2,275","0,00%","0,993","14,58","-87,31","-12,08","-87,57","-2,61%","-2,42%","1,49","-1,39%","-1,49%","0,00","1.371.470.000,00","0,20","-12,89%","Transporte","Serviços de Apoio e Armazenagem","SBPAR UNT","UNT"
